51.61 	54.66 	56.23 	46.19 	40.36 	46.36 	52.41 	54.35 	1.84 	1.36 	0.00 	3.31 	2.11 	0.93 	0.00 	0.00 	1.10 	0.50 	0.00 	1.18 	0.17 	1.01 	0.00 	0.00 	0.46 	0.00 	0.41 	0.00 	1.00 	0.44 
47.09 	49.25 	51.86 	43.90 	50.23 	48.21 	50.48 	43.31 	0.00 	0.00 	4.83 	1.30 	3.20 	3.57 	0.22 	0.44 	0.08 	0.00 	0.08 	0.37 	1.29 	0.69 	0.00 	0.68 	0.90 	0.41 	0.96 	0.56 	0.00 	1.30 
39.82 	44.92 	50.03 	45.96 	51.25 	42.43 	51.50 	47.75 	5.52 	5.59 	5.86 	2.69 	1.06 	0.00 	0.73 	0.89 	0.00 	0.44 	0.00 	0.44 	0.00 	0.27 	0.00 	0.16 	0.64 	0.00 	0.00 	0.00 	0.00 	0.72 
53.38 	54.12 	45.28 	43.25 	53.55 	48.67 	51.48 	48.88 	1.96 	3.03 	5.11 	6.29 	8.02 	2.81 	0.05 	0.95 	0.00 	0.00 	0.26 	0.37 	0.99 	0.46 	0.40 	0.00 	0.55 	0.58 	0.00 	0.60 	0.75 	0.10 
39.14 	41.74 	59.83 	55.85 	50.71 	53.65 	53.25 	62.26 	2.16 	1.01 	6.44 	1.77 	1.48 	2.96 	0.08 	0.00 	0.00 	0.88 	0.11 	0.00 	0.00 	0.22 	1.01 	0.46 	0.00 	0.78 	0.00 	0.09 	0.14 	0.00 
56.24 	50.10 	46.65 	55.35 	45.04 	59.78 	38.28 	53.44 	6.55 	0.87 	9.35 	7.66 	1.19 	0.22 	0.21 	0.84 	0.00 	0.32 	0.44 	0.66 	0.00 	0.00 	0.00 	0.13 	0.00 	0.79 	1.40 	0.31 	0.14 	0.27 
52.71 	48.78 	50.84 	48.33 	50.55 	42.78 	45.40 	47.47 	0.00 	4.25 	0.00 	4.21 	7.29 	3.74 	0.00 	0.37 	0.93 	0.24 	1.29 	0.00 	0.38 	0.00 	0.81 	1.14 	0.61 	1.55 	0.00 	0.52 	0.11 	0.32 
60.55 	45.31 	43.02 	59.51 	60.50 	53.48 	46.77 	46.76 	1.93 	7.58 	4.46 	3.19 	0.00 	1.12 	0.00 	0.00 	0.45 	0.55 	0.00 	0.33 	0.00 	0.07 	0.08 	0.48 	0.00 	1.20 	0.24 	0.44 	1.41 	0.00 
1.84 	0.00 	5.52 	1.96 	2.16 	6.55 	0.00 	1.93 	35.56 	47.12 	53.28 	20.12 	46.18 	33.87 	2.51 	1.83 	5.81 	1.77 	4.54 	3.12 	0.05 	0.09 	0.50 	0.48 	0.49 	0.05 	0.00 	0.34 	0.00 	1.11 
1.36 	0.00 	5.59 	3.03 	1.01 	0.87 	4.25 	7.58 	30.28 	35.46 	37.92 	32.12 	32.82 	27.38 	0.00 	0.02 	3.18 	4.06 	2.13 	1.60 	0.06 	0.19 	0.12 	0.37 	0.01 	0.00 	0.49 	1.22 	0.47 	0.61 
